icon 0: {'type': 'text', 'bbox': [0.06693548709154129, 0.01984127052128315, 0.15403226017951965, 0.035353533923625946], 'interactivity': True, 'content': '17:14', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.16384583711624146, 0.017436077818274498, 0.2076386958360672, 0.03672025352716446], 'interactivity': True, 'content': 'a symbol or logo.', 'source': 'box_yolo_content_yolo'}
icon 2: {'type': 'icon', 'bbox': [0.21484357118606567, 0.01772332936525345, 0.2560199499130249, 0.03598650172352791], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 3: {'type': 'icon', 'bbox': [0.265257865190506, 0.017907967790961266, 0.30447110533714294, 0.03540525585412979], 'interactivity': True, 'content': 'A note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 4: {'type': 'icon', 'bbox': [0.31325480341911316, 0.017917633056640625, 0.3576115369796753, 0.035965800285339355], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.7025187611579895, 0.016654623672366142, 0.7487019896507263, 0.03707953542470932], 'interactivity': True, 'content': 'a profile or icon.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.7555159330368042, 0.01649276725947857, 0.8049936890602112, 0.03681137412786484], 'interactivity': True, 'content': 'Wi-Fi signal or internet connectivity.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.8077477216720581, 0.016066454350948334, 0.8542255759239197, 0.037259869277477264], 'interactivity': True, 'content': 'Close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.8597208261489868, 0.015021266415715218, 0.9294734001159668, 0.03837214782834053], 'interactivity': True, 'content': 'A loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 9: {'type': 'icon', 'bbox': [0.2714848816394806, 0.034826599061489105, 0.3505989909172058, 0.06353519856929779], 'interactivity': True, 'content': 'a pushpin or pushpin.', 'source': 'box_yolo_content_yolo'}
icon 10: {'type': 'text', 'bbox': [0.3338709771633148, 0.06782107055187225, 0.728225827217102, 0.08549783378839493], 'interactivity': True, 'content': '61817', 'source': 'box_ocr_content_ocr'}
icon 11: {'type': 'icon', 'bbox': [0.5303218364715576, 0.06406790018081665, 0.5911287665367126, 0.09050756692886353], 'interactivity': True, 'content': 'the symbol for filling a page or creating a new item.', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'icon', 'bbox': [0.051537398248910904, 0.1390112191438675, 0.11274605989456177, 0.16858448088169098], 'interactivity': True, 'content': 'A thumbs up or like symbol.', 'source': 'box_yolo_content_yolo'}
icon 13: {'type': 'icon', 'bbox': [0.9147524833679199, 0.13698601722717285, 0.968855619430542, 0.17161841690540314], 'interactivity': True, 'content': 'a push pin or arrow.', 'source': 'box_yolo_content_yolo'}
icon 14: {'type': 'text', 'bbox': [0.1943548321723938, 0.1991342008113861, 0.6564516425132751, 0.2229437232017517], 'interactivity': True, 'content': '379 ^399', 'source': 'box_ocr_content_ocr'}
icon 15: {'type': 'icon', 'bbox': [0.8843244910240173, 0.19518102705478668, 0.9672601222991943, 0.23280763626098633], 'interactivity': True, 'content': 'A close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 16: {'type': 'text', 'bbox': [0.13467742502689362, 0.30844154953956604, 0.6919354796409607, 0.3261183202266693], 'interactivity': True, 'content': 'CHINGVERY $F24-1-502', 'source': 'box_ocr_content_ocr'}
icon 17: {'type': 'icon', 'bbox': [0.881320595741272, 0.31289783120155334, 0.9622876644134521, 0.35835757851600647], 'interactivity': True, 'content': 'a push pin or pinning function.', 'source': 'box_yolo_content_yolo'}
icon 18: {'type': 'icon', 'bbox': [0.8074458837509155, 0.3998590111732483, 0.8640022277832031, 0.42450135946273804], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 19: {'type': 'icon', 'bbox': [0.8972716331481934, 0.4000470042228699, 0.9453230500221252, 0.4227560758590698], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 20: {'type': 'icon', 'bbox': [0.047889985144138336, 0.4402497112751007, 0.34304922819137573, 0.6160477995872498], 'interactivity': True, 'content': '399 ', 'source': 'box_yolo_content_ocr'}
icon 21: {'type': 'icon', 'bbox': [0.3432753384113312, 0.4398515820503235, 0.6507803201675415, 0.6172054409980774], 'interactivity': True, 'content': '399 ', 'source': 'box_yolo_content_ocr'}
icon 22: {'type': 'icon', 'bbox': [0.04642639309167862, 0.6422236561775208, 0.14463630318641663, 0.6738549470901489], 'interactivity': True, 'content': 'A symbol or symbol related to writing or writing.', 'source': 'box_yolo_content_yolo'}
icon 23: {'type': 'icon', 'bbox': [0.44523319602012634, 0.6435092687606812, 0.6206621527671814, 0.6682344079017639], 'interactivity': True, 'content': 'adding a new item or message.', 'source': 'box_yolo_content_yolo'}
icon 24: {'type': 'icon', 'bbox': [0.6438936591148376, 0.6348851919174194, 0.7439228892326355, 0.6792433261871338], 'interactivity': True, 'content': 'a single line or an arrow.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'icon', 'bbox': [0.753830075263977, 0.6355305314064026, 0.8364489078521729, 0.678613543510437], 'interactivity': True, 'content': 'the number 1.', 'source': 'box_yolo_content_yolo'}
icon 26: {'type': 'icon', 'bbox': [0.8475134372711182, 0.6347046494483948, 0.948607325553894, 0.6787209510803223], 'interactivity': True, 'content': 'a button to add or create a new item.', 'source': 'box_yolo_content_yolo'}
icon 27: {'type': 'icon', 'bbox': [0.001968724885955453, 0.7276856899261475, 0.9934194087982178, 0.8956208825111389], 'interactivity': True, 'content': 'a blank space or screen.', 'source': 'box_yolo_content_yolo'}
icon 28: {'type': 'icon', 'bbox': [0.025398671627044678, 0.9014354348182678, 0.9741712212562561, 0.9595531821250916], 'interactivity': True, 'content': 'A red folder or file.', 'source': 'box_yolo_content_yolo'}
