icon 0: {'type': 'text', 'bbox': [0.06693548709154129, 0.01984127052128315, 0.15887096524238586, 0.03427128493785858], 'interactivity': True, 'content': '15:44', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.16855411231517792, 0.017755484208464622, 0.21057118475437164, 0.03600044921040535], 'interactivity': True, 'content': 'a notification or alert.', 'source': 'box_yolo_content_yolo'}
icon 2: {'type': 'icon', 'bbox': [0.21966132521629333, 0.01786062680184841, 0.258846640586853, 0.03565380722284317], 'interactivity': True, 'content': 'A note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 3: {'type': 'icon', 'bbox': [0.26863500475883484, 0.017982373014092445, 0.3095219135284424, 0.03592750057578087], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 4: {'type': 'icon', 'bbox': [0.7068476676940918, 0.017427587881684303, 0.7502046227455139, 0.036622773855924606], 'interactivity': True, 'content': 'A symbol or logo indicating a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.762558102607727, 0.01781800016760826, 0.8086686730384827, 0.036088861525058746], 'interactivity': True, 'content': 'Wi-Fi signal orWi-fi connectivity.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.8153344392776489, 0.01832648739218712, 0.8555523157119751, 0.034805092960596085], 'interactivity': True, 'content': 'Close or cancel action.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.8650547862052917, 0.018301818519830704, 0.9316320419311523, 0.03500481694936752], 'interactivity': True, 'content': 'A number or date.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.029594991356134415, 0.0509672611951828, 0.33568325638771057, 0.09654219448566437], 'interactivity': True, 'content': 'Cs2(Z##... 3343 ', 'source': 'box_yolo_content_ocr'}
icon 9: {'type': 'icon', 'bbox': [0.33411815762519836, 0.054183509200811386, 0.4558527171611786, 0.09274324774742126], 'interactivity': True, 'content': 'A symbol or symbol related to Chinese currency or a symbol.', 'source': 'box_yolo_content_yolo'}
icon 10: {'type': 'icon', 'bbox': [0.5309394001960754, 0.05568152293562889, 0.6092960238456726, 0.0905008614063263], 'interactivity': True, 'content': 'a thumbs up or like button.', 'source': 'box_yolo_content_yolo'}
icon 11: {'type': 'icon', 'bbox': [0.6152855157852173, 0.055650196969509125, 0.6944475769996643, 0.09055525064468384], 'interactivity': True, 'content': 'N/A', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'icon', 'bbox': [0.7005393505096436, 0.0564432255923748, 0.7797852754592896, 0.09018389135599136], 'interactivity': True, 'content': 'A person holding a pen.', 'source': 'box_yolo_content_yolo'}
icon 13: {'type': 'icon', 'bbox': [0.7884448766708374, 0.056916020810604095, 0.8767118453979492, 0.08983677625656128], 'interactivity': True, 'content': '143 ', 'source': 'box_yolo_content_ocr'}
icon 14: {'type': 'icon', 'bbox': [0.9024055004119873, 0.05781758949160576, 0.9722746014595032, 0.08970893919467926], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 15: {'type': 'icon', 'bbox': [0.00024250629940070212, 0.10009841620922089, 0.9967118501663208, 0.20168842375278473], 'interactivity': True, 'content': 'a video file.', 'source': 'box_yolo_content_yolo'}
icon 16: {'type': 'icon', 'bbox': [0.009331269189715385, 0.20334681868553162, 0.25684136152267456, 0.28086644411087036], 'interactivity': True, 'content': 'A green line or connection.', 'source': 'box_yolo_content_yolo'}
icon 17: {'type': 'text', 'bbox': [0.06290322542190552, 0.32828283309936523, 0.10080645233392715, 0.33549782633781433], 'interactivity': True, 'content': '3', 'source': 'box_ocr_content_ocr'}
icon 18: {'type': 'text', 'bbox': [0.3338709771633148, 0.4188311696052551, 0.47822579741477966, 0.43037518858909607], 'interactivity': True, 'content': '3aawis110', 'source': 'box_ocr_content_ocr'}
icon 19: {'type': 'text', 'bbox': [0.050806451588869095, 0.43217894434928894, 0.09596773982048035, 0.4437229335308075], 'interactivity': True, 'content': '$50', 'source': 'box_ocr_content_ocr'}
icon 20: {'type': 'text', 'bbox': [0.22096773982048035, 0.4267676770687103, 0.30080646276474, 0.4451659321784973], 'interactivity': True, 'content': '92', 'source': 'box_ocr_content_ocr'}
icon 21: {'type': 'icon', 'bbox': [0.4737420976161957, 0.4272773265838623, 0.5229278802871704, 0.44501498341560364], 'interactivity': True, 'content': 'a star or bookmark function.', 'source': 'box_yolo_content_yolo'}
icon 22: {'type': 'icon', 'bbox': [0.6716423630714417, 0.42708882689476013, 0.709863007068634, 0.4427269995212555], 'interactivity': True, 'content': '17 ', 'source': 'box_yolo_content_ocr'}
icon 23: {'type': 'icon', 'bbox': [0.0504826158285141, 0.497415155172348, 0.1371217966079712, 0.516250491142273], 'interactivity': True, 'content': '15 ', 'source': 'box_yolo_content_ocr'}
icon 24: {'type': 'icon', 'bbox': [0.1375017762184143, 0.4962482452392578, 0.22707325220108032, 0.5168182253837585], 'interactivity': True, 'content': 'A text alignment tool or application.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'icon', 'bbox': [0.06596669554710388, 0.9356235861778259, 0.2605189383029938, 0.9574273824691772], 'interactivity': True, 'content': 'A power outlet or switch.', 'source': 'box_yolo_content_yolo'}
icon 26: {'type': 'icon', 'bbox': [0.48089152574539185, 0.92985600233078, 0.5556663870811462, 0.9637631773948669], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 27: {'type': 'icon', 'bbox': [0.6089497208595276, 0.9324228167533875, 0.6937547922134399, 0.9620027542114258], 'interactivity': True, 'content': 'a logo or symbol related to a user interface or application.', 'source': 'box_yolo_content_yolo'}
icon 28: {'type': 'icon', 'bbox': [0.740784227848053, 0.9310577511787415, 0.8171643018722534, 0.9610099792480469], 'interactivity': True, 'content': 'A bookmark or note.', 'source': 'box_yolo_content_yolo'}
icon 29: {'type': 'icon', 'bbox': [0.8619694113731384, 0.9294756054878235, 0.9632167816162109, 0.9732828140258789], 'interactivity': True, 'content': 'a single button in the dark', 'source': 'box_yolo_content_yolo'}
